circuit_name,length_km,laps,race_distance_km,first_gp,lap_record_time,lap_record_driver,image_url,country_flag_url,url
Albert Park Grand Prix Circuit,5.278,58,306.124,1996,1:19.813,Charles Leclerc2024,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Australia_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/australia-flag",https://www.formula1.com/en/racing/2024/australia/circuit
Red Bull Ring,4.318,71,306.452,1970,1:05.619,Carlos Sainz2020,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Austria_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/austria-flag",https://www.formula1.com/en/racing/2024/austria/circuit
Baku City Circuit,6.003,51,306.049,2016,1:43.009,Charles Leclerc2019,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Baku_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/azerbaijan-flag",https://www.formula1.com/en/racing/2024/azerbaijan/circuit
Bahrain International Circuit,5.412,57,308.238,2004,1:31.447,Pedro de la Rosa2005,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Bahrain_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/bahrain-flag",https://www.formula1.com/en/racing/2024/bahrain/circuit
Circuit de Spa-Francorchamps,7.004,44,308.052,1950,1:44.701,Sergio Perez2024,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Belgium_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/belgium-flag",https://www.formula1.com/en/racing/2024/belgium/circuit
Autódromo José Carlos Pace,4.309,71,305.879,1973,1:10.540,Valtteri Bottas2018,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Brazil_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/brazil-flag",https://www.formula1.com/en/racing/2024/brazil/circuit
Circuit Gilles-Villeneuve,4.361,70,305.27,1978,1:13.078,Valtteri Bottas2019,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Canada_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/canada-flag",https://www.formula1.com/en/racing/2024/canada/circuit
Shanghai International Circuit,5.451,56,305.066,2004,1:32.238,Michael Schumacher2004,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/China_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/china-flag",https://www.formula1.com/en/racing/2024/china/circuit
Autodromo Internazionale Enzo e Dino Ferrari,4.909,63,309.049,1980,1:15.484,Lewis Hamilton2020,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Emilia_Romagna_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/italy-flag",https://www.formula1.com/en/racing/2024/emiliaromagna/circuit
Silverstone Circuit,5.891,52,306.198,1950,1:27.097,Max Verstappen2020,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Great_Britain_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag",https://www.formula1.com/en/racing/2024/great-britain/circuit
Hungaroring,4.381,70,306.63,1986,1:16.627,Lewis Hamilton2020,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Hungary_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/hungary-flag",https://www.formula1.com/en/racing/2024/hungary/circuit
Autodromo Nazionale Monza,5.793,53,306.72,1950,1:21.046,Rubens Barrichello2004,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Italy_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/italy-flag",https://www.formula1.com/en/racing/2024/italy/circuit
Suzuka Circuit,5.807,53,307.471,1987,1:30.965,Kimi Antonelli2025,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Japan_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/japan-flag",https://www.formula1.com/en/racing/2024/japan/circuit
Las Vegas Strip Circuit,6.201,50,309.958,2023,1:34.876,Lando Norris2024,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Las_Vegas_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/united-states-of-america-flag",https://www.formula1.com/en/racing/2024/las-vegas/circuit
Autódromo Hermanos Rodríguez,4.304,71,305.354,1963,1:17.774,Valtteri Bottas2021,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Mexico_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/mexico-flag",https://www.formula1.com/en/racing/2024/mexico/circuit
Miami International Autodrome,5.412,57,308.326,2022,1:29.708,Max Verstappen2023,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Miami_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-of-america-flag",https://www.formula1.com/en/racing/2024/miami/circuit
Circuit de Monaco,3.337,78,260.286,1950,1:12.909,Lewis Hamilton2021,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Monaco_Circuit","https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/monaco-flag",https://www.formula1.com/en/racing/2024/monaco/circuit
Circuit Zandvoort,4.259,72,306.587,1952,1:11.097,Lewis Hamilton2021,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Netherlands_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/netherlands-flag",https://www.formula1.com/en/racing/2024/netherlands/circuit
Lusail International Circuit,5.419,57,308.611,2021,1:22.384,Lando Norris2024,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Qatar_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/qatar-flag",https://www.formula1.com/en/racing/2024/qatar/circuit
Jeddah Corniche Circuit,6.174,50,308.45,2021,1:30.734,Lewis Hamilton2021,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Saudi_Arabia_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/saudi-arabia-flag",https://www.formula1.com/en/racing/2024/saudi-arabia/circuit
Marina Bay Street Circuit,4.94,62,306.143,2008,1:34.486,Daniel Ricciardo2024,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Singapore_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/singapore-flag",https://www.formula1.com/en/racing/2024/singapore/circuit
Circuit de Barcelona-Catalunya,4.657,66,307.236,1991,1:15.743,Oscar Piastri2025,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Spain_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/spain-flag",https://www.formula1.com/en/racing/2024/spain/circuit
Yas Marina Circuit,5.281,58,306.183,2009,1:25.637,Kevin Magnussen2024,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Abu_Dhabi_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1320/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-arab-emirates-flag",https://www.formula1.com/en/racing/2024/united-arab-emirates/circuit
Circuit of The Americas,5.513,56,308.405,2012,1:36.169,Charles Leclerc2019,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/USA_Circuit.png,"https://media.formula1.com/image/upload/f_auto,c_limit,q_auto,w_1000/content/dam/fom-website/2018-redesign-assets/Flags 16x9/united-states-of-america-flag",https://www.formula1.com/en/racing/2024/united-states/circuit
